Ticker,2023-12-29
EBAY,42.00453567504883
APAM,36.463035583496094
AEO,19.631345748901367
CRM,259.3326110839844
ES,55.59727478027344
ZBRA,273.3299865722656
INTU,614.2047119140625
EW,76.25
IGIB,46.94515228271485
HAE,85.51000213623047
ADP,221.1942901611328
SLAB,132.27000427246094
CLDX,39.65999984741211
UEC,6.400000095367432
TMHC,53.34999847412109
ARWR,30.600000381469727
MIR,10.25
DHR,228.4215545654297
OPLN,14.8100004196167
KEYS,159.08999633789062
LLY,573.8945922851562
STLD,114.37388610839844
KO,55.16545486450195
CINF,98.00133514404295
WY,32.390586853027344
UNP,233.4806365966797
NFLX,48.6879997253418
PTEN,9.808300018310549
ANF,88.22000122070312
CTVA,46.78434371948242
WST,349.8243103027344
CALX,43.68999862670898
GNW,6.679999828338623
REZI,18.81999969482422
ALB,139.03514099121094
SFM,48.11000061035156
WDC,39.41414642333984
CVX,135.34017944335938
KMI,15.806320190429688
AWK,125.10496520996094
T,14.793893814086914
ASTS,6.03000020980835
EMCB,56.640716552734375
BWIN,24.020000457763672
TXN,159.48513793945312
CMCSA,37.56269073486328
ROK,298.84307861328125
SYNA,114.08000183105467
ORA,74.77748107910156
INVH,31.377803802490234
SLB,48.91505813598633
WK,101.52999877929688
POWI,79.31625366210938
LRN,59.369998931884766
A,136.6575469970703
FCX,41.21186447143555
LMND,16.1299991607666
UCTT,34.13999938964844
UUUU,7.190000057220459
VTC,69.79705810546875
AMAT,159.02210998535156
MWA,14.015316009521484
NVDA,49.49175262451172
HE,14.1899995803833
TEX,55.77349090576172
GTX,9.42642307281494
VERX,26.940000534057617
FN,190.3300018310547
LULU,511.2900085449219
CME,192.847900390625
ALKS,27.739999771118164
CAG,25.09132957458496
FRT,93.51000213623048
CSGP,87.38999938964844
MMS,81.00890350341797
NRIX,10.31999969482422
ARLO,9.520000457763672
HIG,77.32355499267578
FORM,41.709999084472656
IMAX,15.020000457763672
CRWD,255.32000732421875
PG,138.31805419921875
DELL,73.66667175292969
